accession	pairwise_score	pairwise_pct	multiple_pct	entropy
PF07839.17	0.22127485671475425	0.2682259560063952	0.39996556473829203	1.8887100479275356
PF13715.13	-0.26445655309208554	0.19932022290570997	0.308625730994152	1.922784011320289
PF00619.28	-0.18768481295779219	0.17924495595783857	0.30120984564038383	2.3335757403261246
PF07705.18	-0.5544624647010238	0.18251116739975023	0.2872127872127872	1.922194963727124
PF09150.16	1.9479602695665337	0.4316531030650291	0.5681251730822486	1.6012794406111142
PF17894.8	1.367345431365704	0.3919247292946572	0.5193687230989957	1.4916613756840011
PF28596.1	0.8864035420072134	0.31586512463308625	0.4432008018710324	1.8147014121741798
PF22909.2	0.5908890365879026	0.2964470289626179	0.4246886973180077	1.6415149918529413
PF01903.23	-1.1217298482726477	0.13881179761030274	0.23293650793650794	1.7780600681970835
PF24517.3	0.30612034167647073	0.23888874540573227	0.3648344221671548	2.0765026711783183
PF03442.21	0.32501162276517037	0.2606396754799378	0.390625	1.8348779450416237
PF26644.1	1.6255770458429801	0.3540719837416527	0.47044334975369456	1.734484260729348
PF28523.1	-0.075535885942726	0.2790518734081904	0.37927350427350426	1.1838848816163146
PF28454.1	-1.1682978823802355	0.1966928839044688	0.28238993710691823	1.1501217739856107
PF21674.3	0.6242451978928152	0.27661759179708073	0.3987154150197628	1.765974432738057
PF27916.1	1.1688098305380417	0.3871359035408261	0.5190476190476191	1.3988118227018076
PF02754.22	-0.672488484405964	0.15112849570966022	0.2532613585245164	2.1159589964994936
PF26619.1	2.1330161951878646	0.46678835905239313	0.5826560536237956	1.3695078409544679
PF24850.2	0.47198996672772026	0.22053774094699777	0.36010396361273556	2.372888007730258
PF08565.17	1.1916241597680408	0.344997733828697	0.47031539888682744	1.6827432313531905
PF02933.24	-1.5955569867356918	0.11015818746952727	0.19664864864864864	1.6622103313639216
PF24238.2	-1.1905154758185441	0.18099564811239655	0.27433035714285714	1.3093183038507021
PF03598.21	2.066241632306909	0.4384895107884643	0.5604103343465046	1.444128698243968
PF27644.1	-1.8680182468305429	0.15308247938528277	0.2246530612244898	0.9074028379613647
PF24125.2	0.7054770946675477	0.2891842675838094	0.40022718667171525	1.7082480547000831
PF09415.17	-0.5191790096646768	0.2120250673578353	0.31671283471837486	1.6430940124569364
PF28563.1	-1.529366017315166	0.1896002795096169	0.2607224708065044	0.6794551781562147
PF27944.1	-0.9465592607737432	0.20207369626257538	0.2912139820500708	1.0755514071792587
PF27825.1	-0.7521384499910821	0.19960324569658455	0.3088888888888889	1.3621367452011608
PF27821.1	-0.0065729899262910105	0.3031605303124027	0.39741935483870966	0.9824595262222781
PF22067.3	0.5138322093748249	0.3032947016646589	0.43259508907077515	1.7236381170226054
PF22066.3	2.7208498607564264	0.5481507249071067	0.6672714078374455	1.2660802294740778
PF06657.19	0.7679342537183557	0.27758207510989863	0.4183858722561479	2.184738665153318
PF27977.1	-0.4458084574148977	0.24898090722264413	0.3425287356321839	1.0432781976141288
PF24654.3	0.8376239355735727	0.3090831836443826	0.4321076664263398	1.6069333335227611
PF14738.12	0.5552552573955278	0.30017065513419616	0.42344961240310075	1.6667083285429547
PF27274.1	-0.8356706399038643	0.17801179892899	0.2828723259299632	1.6503337037166812
PF10233.15	1.297139560443135	0.35146333950195424	0.4896987151085512	1.747079687266932
PF08821.17	-0.0866303936835959	0.22495082254244905	0.33426073131955486	1.7658812486575364
PF25291.2	1.4702303457543702	0.41894988307877706	0.5164152617568767	1.1592356141597049
PF06150.18	0.7099975541101086	0.2983425228251351	0.4263736263736264	1.7003580347808624
PF22554.2	0.2983179887837311	0.23903433316255943	0.38775862068965516	2.2533203308799172
PF13290.14	-1.3709050802067297	0.1608617731520364	0.24637254901960784	1.2306944533260573
PF13690.12	-0.9548086518339762	0.14897238526299436	0.24784276126558005	1.868219556221659
PF16981.11	1.947623525469991	0.5136285097584196	0.6246376811594203	1.1290496884068684
PF13541.13	0.8621601601093751	0.3533714804616809	0.4626865671641791	1.4659444451588026
PF02962.21	1.0365381206444366	0.3474750226280592	0.46855721393034827	1.5658379968591671
PF03777.19	2.064854472392629	0.48949032997988706	0.5953733766233766	1.2338451468613267
PF09828.15	1.4410358983276432	0.37652816617037976	0.502016129032258	1.7355219123375696
PF00385.31	-0.7912059036055769	0.1697383922191029	0.2660294117647059	1.6630554864017397
PF25386.2	3.409090909090909	0.6172136953955136	0.7292207792207792	1.173360505453989
PF01393.27	0.30715178601570087	0.25461965010130816	0.3881118881118881	1.8835480257137935
PF06228.20	-0.556281594608364	0.1944459971912241	0.31127679403541475	1.7733483856455237
PF25532.2	0.2773730929177769	0.2715986732862552	0.3908334283434044	1.6017365371017738
PF05093.19	0.3624479366863011	0.3330772304913786	0.42536630036630035	1.149925020738081
PF02017.22	1.4578025571024533	0.35164107349690094	0.4797988555574822	2.028467415091276
PF23708.2	1.3091799342966879	0.35111084763504874	0.46075745366639803	1.6739793583031946
PF18146.7	0.37772792996009336	0.24132272777184882	0.37494252873563216	1.9950893885480232
PF27871.1	1.6035294262704543	0.33855989164792066	0.4721212121212121	1.9850017238399018
